iter	R2	RMSE
0	0.1804541657	10851.63696
1	0.3191274035	9891.030938
2	0.4229337366	9105.870617
3	0.5093304389	8396.594714
4	0.5737371083	7826.136098
5	0.6260060158	7330.623942
6	0.6663651958	6923.796697
7	0.7006754028	6558.127202
8	0.7258918412	6275.8075
9	0.7455346937	6046.762656
10	0.7643004484	5819.531333
11	0.7769742594	5660.908402
12	0.7891818659	5503.799637
13	0.7973952719	5395.521416
14	0.8053226686	5288.911803
15	0.8121363715	5195.531543
16	0.8162591368	5138.205963
17	0.8206418265	5076.55644
18	0.8246874378	5018.976373
19	0.8281599687	4969.020681
20	0.8308892198	4929.40248
21	0.8332554535	4894.794374
22	0.834442377	4877.342162
23	0.8361852625	4851.601456
24	0.837939411	4825.555769
25	0.8394287922	4803.330498
26	0.8422426847	4761.057056
27	0.8462741221	4699.829724
28	0.8493328687	4652.837578
29	0.8504047218	4636.257784
30	0.850980226	4627.331176
31	0.8517766081	4614.950066
32	0.8525745633	4602.511095
33	0.8531593587	4593.373588
34	0.8535517846	4587.231676
35	0.8553959143	4558.258123
36	0.8558400058	4551.25334
37	0.8562993589	4543.996471
38	0.8574015883	4526.53598
39	0.8593463547	4495.56342
40	0.8611019044	4467.419939
41	0.8624524242	4445.648308
42	0.8626939461	4441.743501
43	0.8633263189	4431.503315
44	0.8634814295	4428.98795
45	0.863682633	4425.722985
46	0.8638464251	4423.063323
47	0.8640752859	4419.344392
48	0.8645843437	4411.061086
49	0.8647687316	4408.056916
50	0.8649239176	4405.526935
51	0.8650169809	4404.009036
52	0.8653882687	4397.947975
53	0.865484616	4396.373795
54	0.8656450664	4393.751008
55	0.8657203083	4392.520533
56	0.8657970034	4391.26594
57	0.8658934154	4389.688305
58	0.86598347	4388.214187
59	0.8661569864	4385.37247
60	0.8663092441	4382.877396
61	0.866499281	4379.761231
62	0.8665733493	4378.546082
63	0.866690803	4376.618471
64	0.8669540604	4372.294887
65	0.8670415769	4370.856623
66	0.8673155613	4366.350838
67	0.8676709227	4360.499838
68	0.8679186134	4356.416984
69	0.8680787267	4353.775689
70	0.8685018427	4346.788067
71	0.8686950406	4343.59373
72	0.8688037968	4341.794518
73	0.8689082434	4340.065901
74	0.8693027278	4333.530868
75	0.8696579054	4327.638549
76	0.8699700769	4322.453058
77	0.870112828	4320.07974
78	0.8703848329	4315.553896
79	0.8707327231	4309.758478
80	0.8708606584	4307.625276
81	0.870912057	4306.767954
82	0.8712284967	4301.486018
83	0.8714675046	4297.492251
84	0.871771658	4292.404546
85	0.8719826464	4288.871706
86	0.8722560002	4284.290272
87	0.8724402975	4281.198667
88	0.8724985298	4280.22135
89	0.8726091906	4278.363506
90	0.8726688837	4277.361007
91	0.8728309934	4274.637309
92	0.8729453448	4272.714983
93	0.8730932336	4270.227587
94	0.8731959728	4268.498724
95	0.8734456175	4264.294864
96	0.8735379872	4262.738365
97	0.8736205987	4261.345816
98	0.8737662832	4258.888964
99	0.8738400155	4257.644988
100	0.8738795861	4256.977222
101	0.8739712463	4255.430024
102	0.8741900967	4251.733617
103	0.8743191011	4249.553212
104	0.874385364	4248.432816
105	0.8744446642	4247.429896
106	0.8746361139	4244.190372
107	0.87475015	4242.259587
108	0.8748034872	4241.356217
109	0.8748901999	4239.887153
110	0.8750605734	4236.999248
111	0.8751077925	4236.198515
112	0.8751952076	4234.715746
113	0.8752260774	4234.191997
114	0.8753111375	4232.748497
115	0.8753589397	4231.93706
116	0.8756423676	4227.122709
117	0.8757907532	4224.600021
118	0.8761014707	4219.312656
119	0.8761416329	4218.628747
120	0.8761675926	4218.186629
121	0.8764117073	4214.026856
122	0.8764556885	4213.276969
123	0.8765774139	4211.200835
124	0.8766170197	4210.525103
125	0.8766994763	4209.117923
126	0.8767761364	4207.809245
127	0.8769913128	4204.133753
128	0.8770626302	4202.914849
129	0.877322987	4198.462023
130	0.8773893859	4197.325661
131	0.8776214609	4193.351471
132	0.8777257081	4191.565054
