iter	Passed	Remaining
0	3	3755
1	5	2952
2	7	2603
3	9	2459
4	12	2389
5	16	2753
6	19	2742
7	21	2681
8	24	2712
9	26	2629
10	28	2590
11	30	2531
12	33	2519
13	35	2475
14	37	2463
15	40	2493
16	42	2450
17	44	2417
18	47	2467
19	50	2479
20	51	2423
21	53	2367
22	54	2307
23	55	2253
24	56	2202
25	57	2154
26	58	2109
27	59	2061
28	60	2016
29	61	1983
30	62	1941
31	63	1908
32	63	1872
33	64	1840
34	65	1809
35	66	1783
36	67	1753
37	68	1736
38	69	1705
39	69	1678
40	70	1652
41	71	1635
42	72	1608
43	72	1581
44	73	1557
45	74	1538
46	75	1524
47	75	1504
48	76	1483
49	77	1463
50	77	1444
51	78	1424
52	78	1406
53	79	1388
54	79	1369
55	80	1352
56	81	1341
57	81	1327
58	82	1315
59	83	1302
60	83	1288
61	84	1275
62	84	1260
63	85	1246
64	85	1232
65	86	1220
66	86	1207
67	87	1195
68	87	1182
69	88	1170
70	88	1160
71	89	1148
72	89	1136
73	89	1125
74	90	1115
75	90	1105
76	91	1094
77	91	1084
78	92	1075
79	92	1066
80	93	1057
81	93	1048
82	94	1040
83	94	1031
84	95	1023
85	95	1014
86	95	1006
87	96	998
88	96	990
89	97	982
90	97	975
91	98	967
92	98	963
93	99	957
94	99	950
95	100	944
96	100	938
97	101	932
98	101	926
99	102	919
100	102	913
101	103	907
102	103	901
103	103	895
104	104	889
105	104	884
106	105	878
107	105	873
108	106	868
109	106	863
110	107	857
111	107	852
112	107	847
113	108	842
114	108	837
115	109	832
116	109	828
117	110	823
118	110	820
119	111	818
120	112	815
121	112	811
122	113	807
123	113	803
124	114	799
125	114	796
126	115	792
127	115	788
128	116	784
129	116	780
130	117	776
131	117	772
132	117	768
133	118	764
134	118	761
135	119	757
136	119	755
137	120	751
138	120	748
139	121	744
140	121	740
141	122	737
142	122	733
143	122	730
144	123	726
145	123	723
146	124	720
147	124	717
148	125	714
149	125	711
150	125	708
151	126	705
152	126	702
153	127	699
154	127	696
155	128	695
156	129	695
157	130	693
158	130	690
159	131	688
160	131	685
161	132	683
162	132	680
163	132	677
164	133	674
165	133	672
166	134	669
167	134	667
168	135	664
169	135	662
170	136	662
171	137	661
172	138	660
173	138	659
174	139	657
175	139	654
176	140	652
177	140	649
178	141	646
179	141	644
180	141	642
181	142	640
182	142	637
183	143	636
184	143	633
185	144	632
186	144	630
187	145	627
188	145	625
189	146	623
190	146	621
191	147	619
192	147	617
193	148	615
194	148	614
195	149	612
196	149	610
197	150	608
198	150	606
199	151	604
200	151	602
201	151	600
202	152	598
203	152	596
204	153	594
205	154	594
206	155	594
207	155	593
208	156	593
209	157	591
210	157	589
211	158	587
212	158	585
213	158	583
214	159	582
215	159	580
216	160	578
217	160	576
218	161	574
219	161	573
220	162	571
221	162	569
222	162	567
223	163	566
224	163	564
225	164	562
226	164	560
227	165	559
228	166	559
229	166	558
230	167	556
231	167	555
232	168	553
233	168	551
234	169	550
235	169	548
236	169	547
237	170	545
238	170	543
239	171	542
240	171	540
241	172	539
242	172	537
243	173	536
244	173	534
245	174	534
246	174	532
247	175	531
248	175	529
249	176	528
250	176	526
251	176	525
252	177	523
253	177	522
254	178	520
255	178	519
256	179	517
257	179	516
258	180	515
259	180	513
260	180	512
261	181	510
262	181	509
263	182	508
264	182	506
265	183	505
266	183	503
267	184	502
268	184	502
269	185	501
270	185	499
271	186	498
272	186	497
273	187	495
274	187	494
275	188	493
276	188	491
277	188	490
278	189	489
279	189	488
280	190	487
281	190	485
282	191	484
283	191	483
284	192	482
285	192	480
286	193	479
287	193	478
288	194	477
289	194	476
290	194	474
291	195	473
292	195	472
293	196	471
294	196	469
295	197	468
296	197	467
297	197	466
298	198	465
299	198	463
300	199	462
301	199	461
302	200	460
303	200	459
304	201	458
305	201	457
306	201	455
307	202	455
308	203	454
309	203	453
310	203	451
311	204	450
312	204	449
313	205	449
314	206	448
315	206	447
316	207	446
317	207	444
318	207	443
319	208	442
320	208	441
321	209	440
322	209	439
323	210	438
324	210	437
325	211	436
326	211	435
327	212	434
328	212	433
329	213	432
330	213	431
331	213	430
332	214	429
333	214	428
334	215	427
335	215	426
336	216	425
337	216	424
338	217	423
339	217	422
340	218	421
341	218	420
342	219	419
343	219	418
344	219	417
345	220	416
346	220	415
347	221	414
348	221	413
349	222	412
350	222	411
351	223	410
352	223	409
353	224	408
354	225	409
355	225	408
356	226	407
357	226	406
358	227	405
359	227	404
360	228	403
361	228	403
362	229	402
363	229	401
364	230	400
365	230	399
366	231	398
367	231	397
368	232	396
369	232	395
370	233	395
371	233	394
372	233	393
373	234	392
374	234	391
375	235	390
376	235	389
377	236	388
378	236	388
379	237	387
380	238	387
381	238	386
382	239	385
383	240	385
384	240	384
385	240	383
386	241	382
387	241	381
388	242	380
389	243	380
390	243	379
